,title,type
1777,Scrapped Princess,TV
1778,Martian Successor Nadesico,TV
1779,Karakai Jouzu no Takagi-san OVA,OVA
1780,Utawarerumono Specials,Special
1781,The Ideon: Be Invoked,Movie
1782,Kiddy Grade: Truth Dawn,Movie
1783,Osomatsu-san Special,Special
1784,You're Under Arrest! The Movie,Movie
1785,One Piece Special 1: Adventure in the Ocean's Navel,Special
1786,Servamp Movie: Alice in the Garden,Movie
1787,IGPX: Immortal Grand Prix 2nd Season,TV
1788,Lady Jewelpet,TV
1789,Peace Sign,Video
1790,Poyopoyo Kansatsu Nikki,TV
1791,Black Bullet,TV
1792,Afro Samurai: The Movie,Movie
1793,His and Her Circumstances,TV
1794,Eve: Tokyo Ghetto,Video
1795,Monster Musume OVA,OVA
1796,Captain Harlock,TV
1797,Shakugan no Shana Movie,Movie
1798,Ah! My Goddess: Flights of Fancy Specials,Special
1799,Otona Joshi no Anime Time 2,Special
1800,Dragon Ball Z Movie 12: Fusion Reborn,Movie
1801,I Can't Understand What My Husband is Saying,TV
1802,She and Her Cat,OVA
1803,Mix,TV
1804,Naruto Shippuden Movie 3: The Will of Fire,Movie
1805,"One Piece Special 2: Open Upon the Great Sea! A Father's Huge, HUGE Dream!",Special
1806,Nogizaka Haruka no Himitsu: Finale,OVA
1807,Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future,Special
1808,One Piece Special 3: Protect! The Last Great Stage,Special
1809,Baja no Studio,OVA
1810,Ranma 1/2 OVA: Chou Musabetsu Kessen! Ranma Team VS Densetsu no Houou,Movie
1811,Kabaneri of the Iron Fortress Part 1: Light That Gathers,Movie
1812,Pokemon Movie 20: I Choose You!,Movie
1813,Mei and the Baby Cat Bus,Movie
1814,Fairy Tail x Rave,OVA
1815,Mikan Enikki,TV
1816,Days,TV
1817,Yuru Yuri,TV
1818,Usuzumizakura: Garo,Movie
1819,Aoharu x Machinegun,TV
1820,Prince of Tennis: Two Samurai The First Game,Movie
1821,Midori Days,TV
1822,Royal Space Force: The Wings of Honneamise,Movie
1823,Strike Witches TV 2,TV
1824,Ranma 1/2: The Movie 2 - Nihao My Concubine,Movie
1825,Dragon Ball: Episode of Bardock,Other
1826,Space Battleship Yamato 2199: Tsuioku no Koukai,Movie
1827,RIN: Daughters of Mnemosyne,OVA
1828,Patlabor 2: The Movie,Movie
1829,Elfen Lied: In the Passing Rain,Special
1830,Magic-Kyun! Renaissance,TV
1831,Star Blazers: The Comet Empire,TV
1832,The Third: The Girl with the Blue Eye,TV
1833,Un-Go,TV
1834,Digimon Adventure Tri. Movie 5: Coexistence,Movie
1835,D-Frag! OVA,OVA
1836,Black Butler 2 Specials,Special
1837,Ghost Stories,TV
1838,Hakumei and Mikochi,TV
1839,Lupin III Special 10: Crisis in Tokyo,Special
1840,I've Always Liked You Special,Special
1841,Kyo Kara Maoh!,TV
1842,InuYasha The Movie 4: Fire on the Mystic Island,Movie
1843,Yamada-kun and the Seven Witches (2013),Web
1844,My-Otome 0 ~S.ifr~,OVA
1845,Persona 5 The Animation: Proof of Justice,OVA
1846,Chibi Maruko-chan,TV
1847,Fist of the North Star 2,TV
1848,Paranoia Agent,TV
1849,Tegami Bachi: Letter Bee - Light and Blue Night Fantasy,Special
1850,Detective Conan OVA 2: 16 Suspects,OVA
1851,The World God Only Knows: Four Girls and an Idol,OVA
1852,Kuroko's Basketball 2: NG-shuu,Special
1853,Captain Harlock: Arcadia of my Youth - Endless Orbit SSX,TV
1854,Miss Hokusai,Movie
1855,Blood Blockade Battlefront OVA,OVA
1856,Danganronpa: The Animation,TV
1857,The Red Turtle,Movie
1858,Lupin III Special 23: Blood Seal of the Eternal Mermaid,Special
1859,Nogizaka Haruka no Himitsu,TV
1860,Lord Marksman and Vanadis,TV
1861,Otona Joshi no Anime Time: Kawamo o Suberu Kaze,Special
1862,City Hunter: Goodbye My Sweetheart,Special
1863,Sailor Moon Sailor Stars,TV
1864,Black Lagoon Specials,Special
1865,Aoharu x Machinegun: This is a Battlefield for Beasts!,Special
1866,Baby & Me,TV
1867,Bungaku Shoujo Memoire,OVA
1868,Slayers: The Motion Picture,Movie
1869,Tsubasa Reservoir Chronicle The Movie: The Princess in the Birdcage Kingdom,Movie
1870,Kowarekake no Orgel,OVA
1871,Nanbaka,TV
1872,Hakuouki Shinsengumi Kitan,TV
1873,Hetalia: The Beautiful World Extra Disc,Special
1874,Tokyo Majin: 2nd Act,TV
1875,Another 0-kan,OVA
1876,Nichijou - My Ordinary Life: Episode 0,OVA
1877,Paniponi Dash! Special,Special
1878,Glass Mask OVA,OVA
1879,Crest of the Stars: Birth,Special
1880,Osomatsu-san (2017),Movie
1881,Hell Girl,TV
1882,Saiyuki Requiem,Movie
1883,World Trigger,TV
1884,Inochi no Chikyuu: Dioxin no Natsu,Movie
1885,Hanamaru Kindergarten,TV
1886,Fist of the North Star: Legend of Raoh: Death for Love,Movie
1887,Baby I Love You Daze,Web
1888,Lupin III: Part IV Specials,Special
1889,Beelzebub Jump Super Anime Tour Special,OVA
1890,Hori-san to Miyamura-kun,OVA
1891,Chaika: The Coffin Princess,TV
1892,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou Part 1 - Tomodachi,Movie
1893,Me! Me! Me!,Web
1894,One Piece: Straw Hat Theater,Special
1895,Slam Dunk Movie 2,Movie
1896,Star Twinkle Pretty Cure,TV
1897,One Piece: Episode of Skypiea,Special
1898,Hakuouki Reimeiroku,TV
1899,Appleseed: Ex Machina,Movie
1900,Kimikiss Pure Rouge,TV
1901,Dragon Quest: Dai no Daibouken,TV
1902,Detective Conan OVA 7: A Challenge from Agasa,OVA
1903,Chaika: The Coffin Princess - AVENGING BATTLE,TV
1904,Miss Kobayashi's Dragon Maid Specials,Special
1905,EGOIST: The Everlasting Guilty Crown,Video
1906,Resident Evil: Damnation,Movie
1907,Tengen Toppa Gurren Lagann Gekijouban Zenyasai Special: Viral's Sweet Dream,Other
1908,Laid-Back Camp Specials,Special
1909,Mitchiri Neko March,Video
1910,Lupin III: Part V - Is Lupin Still Burning?,OVA
1911,Aoki Hagane no Arpeggio: Ars Nova,TV
1912,Myself; Yourself,TV
1913,Cheonnyeon-yeowoo Yeowoobi,Movie
1914,Ground Control to Psychoelectric Girl: The Nighttime Sun,Special
1915,Aishen Qiaokeli-ing... II,Web
1916,Kannagi,TV
1917,One Piece Movie 8: The Desert Princess and the Pirates - Adventures in Alabasta,Movie
1918,Urusei Yatsura OVA,OVA
1919,Terra Formars: Earth Arc,OVA
1920,Shaonian Jinyiwei,Web
1921,Hakkenden: Eight Dogs of the East,TV
1922,Digimon Adventure Tri. Movie 6: Future,Movie
1923,Mahou Sensei Negima! ~Shiroki Tsubasa Ala Alba~,OVA
1924,Love Live! Sunshine!!,TV
1925,Sailor Moon S,TV
1926,"Hora, Mimi ga Mieteru yo! 2",Web
1927,Tower of Druaga: The Sword of Uruk,TV
1928,High School DxD OVA,OVA
1929,Gatchaman Crowds: Embrace,Special
1930,"You're Being Summoned, Azazel",TV
1931,Ghost in the Shell: Stand Alone Complex 2nd Gig - Tachikoma Days,Other
1932,Armored Trooper Votoms,TV
1933,Nobody's Boy Remi Movie,Movie
1934,Library War: Romance Impairment,Special
1935,Zipang,TV
1936,InuYasha The Movie 1: Affections Touching Across Time,Movie
1937,Sekirei: Pure Engagement Special,Special
1938,Dragon Pilot: Hisone & Masotan,TV
1939,Lupin III Special 27: Goodbye Partner,Special
1940,Wo Shi Jiang Xiaobai OVA,Web
1941,Karas,OVA
1942,Dragon Nest: Throne of Elves,Movie
1943,Stellvia of the Universe,TV
1944,Tamayura: More Aggressive OVA,OVA
1945,Osomatsu-kun (1988) Special,Special
1946,Dragon Ball Z Movie 8: The Legendary Super Saiyan,Movie
1947,Kenshi Yonezu: Suna no Wakusei,Video
1948,Blue Exorcist: Kuro's Trip Away From Home,Special
1949,I've Always Liked You,Movie
1950,Black Cat,TV
1951,Okami-san & Her Seven Companions,TV
1952,Kimagure Orange Road,TV
1953,City Hunter: .357 Magnum,Movie
1954,Buso Renkin,TV
1955,Senryuu Girl,TV
1956,Demon King Daimao,TV
